,date,TICKER,PRC,PRC moving average 20
547,20020312,EWST,10.5,10.662005
548,20020313,EWST,10.5,10.629505
549,20020314,EWST,10.5,10.619505
550,20020315,EWST,10.2,10.574505
551,20020318,EWST,10.470999999999998,10.553155
552,20020319,EWST,10.454,10.540855000000002
553,20020320,EWST,10.4896,10.533335000000003
554,20020321,EWST,10.21,10.498835000000003
555,20020322,EWST,10.49,10.487085000000004
556,20020325,EWST,10.35,10.473585000000003
557,20020326,EWST,10.3995,10.463560000000003
558,20020327,EWST,10.5,10.458560000000002
559,20020328,EWST,10.4,10.443560000000003
560,20020401,EWST,10.49,10.418060000000004
561,20020402,EWST,10.49,10.432560000000006
562,20020403,EWST,10.4,10.425060000000006
563,20020404,EWST,10.3986,10.419990000000004
564,20020405,EWST,10.2614,10.408060000000004
565,20020408,EWST,10.4,10.420060000000005
566,20020409,EWST,10.3886,10.414635000000006
567,20020410,EWST,10.4975,10.414510000000005
568,20020411,EWST,10.1,10.394510000000006
569,20020412,EWST,10.3767,10.388345000000005
570,20020415,EWST,10.3774,10.397215000000006
571,20020416,EWST,10.39,10.393165000000005
572,20020417,EWST,10.25,10.382965000000004
573,20020418,EWST,10.25,10.370985000000005
574,20020419,EWST,10.25,10.372985000000003
575,20020422,EWST,10.0394,10.350455000000004
576,20020423,EWST,10.1,10.337955000000004
577,20020424,EWST,10.0486,10.320410000000004
578,20020425,EWST,9.9,10.290410000000005
579,20020426,EWST,9.87,10.263910000000005
580,20020429,EWST,9.8955,10.234185000000004
581,20020430,EWST,9.95,10.207185000000003
582,20020501,EWST,10.25,10.199685000000002
583,20020502,EWST,9.9475,10.177130000000002
584,20020503,EWST,10.0,10.164060000000003
585,20020506,EWST,9.8569,10.136905000000002
586,20020507,EWST,9.749,10.104925000000001
587,20020508,EWST,9.65,10.062550000000002
588,20020509,EWST,9.64,10.039550000000002
589,20020510,EWST,9.74,10.007715000000001
590,20020513,EWST,9.8,9.978845000000003
591,20020514,EWST,9.76,9.947345000000002
592,20020515,EWST,9.789,9.924295
593,20020516,EWST,9.52,9.887795
594,20020517,EWST,9.798,9.865195000000002
595,20020520,EWST,9.7485,9.850650000000002
596,20020521,EWST,9.7,9.830650000000002
597,20020522,EWST,9.5218,9.804310000000003
598,20020523,EWST,9.5613,9.787375
599,20020524,EWST,9.6,9.773875
600,20020528,EWST,9.7,9.764100000000001
601,20020529,EWST,9.68,9.750600000000002
602,20020530,EWST,9.69,9.722600000000002
603,20020531,EWST,10.0975,9.730100000000002
604,20020603,EWST,9.79,9.719600000000002
605,20020604,EWST,9.7,9.711755
606,20020605,EWST,9.7,9.709305
607,20020606,EWST,9.5,9.701805
608,20020607,EWST,9.75,9.707305
609,20020610,EWST,9.7,9.705305
610,20020611,EWST,9.75,9.702804999999998
611,20020612,EWST,9.7,9.699804999999998
612,20020613,EWST,9.6,9.690354999999998
613,20020614,EWST,9.65,9.696854999999998
614,20020617,EWST,9.7,9.691954999999997
615,20020618,EWST,9.6956,9.689309999999997
616,20020619,EWST,9.35,9.671809999999997
617,20020620,EWST,9.36,9.663719999999996
618,20020621,EWST,9.639,9.667604999999998
619,20020624,EWST,9.65,9.670104999999998
620,20020625,EWST,9.4123,9.655719999999999
621,20020626,EWST,9.6377,9.653604999999997
622,20020627,EWST,9.41,9.639604999999998
623,20020628,EWST,9.72,9.620729999999998
624,20020701,EWST,9.75,9.618729999999998
625,20020702,EWST,9.44,9.605729999999998
626,20020703,EWST,9.45,9.593229999999998
627,20020705,EWST,9.75,9.605729999999998
628,20020708,EWST,9.445,9.590479999999998
629,20020709,EWST,9.4,9.575479999999999
630,20020710,EWST,9.5968,9.56782
631,20020711,EWST,9.65,9.56532
632,20020712,EWST,9.2441,9.547525
633,20020715,EWST,9.04,9.517025
634,20020716,EWST,9.1,9.487025
635,20020717,EWST,9.5451,9.479499999999998
636,20020718,EWST,9.299,9.476949999999999
637,20020719,EWST,9.05,9.46145
638,20020722,EWST,8.75,9.416999999999998
639,20020723,EWST,8.75,9.371999999999998
640,20020724,EWST,8.8,9.341384999999999
641,20020725,EWST,8.7,9.2945
642,20020726,EWST,8.8,9.264
643,20020729,EWST,8.75,9.2155
644,20020730,EWST,8.85,9.1705
645,20020731,EWST,8.75,9.136
646,20020801,EWST,8.85,9.106
647,20020802,EWST,8.75,9.056000000000001
648,20020805,EWST,8.75,9.02125
649,20020806,EWST,8.75,8.98875
650,20020807,EWST,8.76,8.946909999999999
651,20020808,EWST,9.0,8.91441
652,20020809,EWST,9.0,8.902204999999999
653,20020812,EWST,9.0,8.900205
654,20020813,EWST,8.8,8.885205000000001
655,20020814,EWST,8.98,8.856950000000001
656,20020815,EWST,8.85,8.8345
657,20020816,EWST,8.75,8.8195
658,20020819,EWST,8.9778,8.83089
659,20020820,EWST,8.9881,8.842794999999999
660,20020821,EWST,9.0,8.852794999999999
661,20020822,EWST,9.0014,8.867864999999998
662,20020823,EWST,9.0,8.877864999999998
663,20020826,EWST,9.5,8.915364999999998
664,20020827,EWST,9.15,8.930364999999998
665,20020828,EWST,9.0,8.942865
666,20020829,EWST,9.0,8.950365
667,20020830,EWST,8.9,8.957865
668,20020903,EWST,9.14,8.977365
669,20020904,EWST,9.13,8.996365
670,20020905,EWST,8.94,9.005365000000001
671,20020906,EWST,9.13,9.011865
672,20020909,EWST,9.0,9.011865
673,20020910,EWST,8.78,9.000865000000001
674,20020911,EWST,8.75,8.998365
675,20020912,EWST,9.0,8.999365000000001
676,20020913,EWST,9.0,9.006865000000001
677,20020916,EWST,8.7,9.004365
678,20020917,EWST,8.66,8.988475
679,20020918,EWST,8.65,8.97157
680,20020919,EWST,8.6,8.95157
681,20020920,EWST,8.7,8.936499999999999
682,20020923,EWST,8.79,8.925999999999998
683,20020924,EWST,8.45,8.873499999999998
684,20020925,EWST,8.5,8.840999999999998
685,20020926,EWST,8.71,8.8265
686,20020927,EWST,8.74,8.8135
687,20020930,EWST,8.75,8.806
688,20021001,EWST,8.89,8.7935
689,20021002,EWST,8.65,8.7695
690,20021003,EWST,8.75,8.760000000000002
691,20021004,EWST,8.74,8.7405
692,20021007,EWST,8.74,8.727500000000003
693,20021008,EWST,8.7,8.723500000000001
694,20021009,EWST,8.55,8.713500000000002
695,20021010,EWST,8.49,8.688000000000002
696,20021011,EWST,8.5,8.663000000000002
697,20021014,EWST,8.37,8.646500000000003
698,20021015,EWST,8.41,8.634000000000004
699,20021016,EWST,8.64,8.633500000000002
700,20021017,EWST,8.64,8.635500000000004
701,20021018,EWST,8.64,8.632500000000004
702,20021021,EWST,8.575,8.621750000000004
703,20021022,EWST,8.65,8.631750000000006
704,20021023,EWST,8.7,8.641750000000005
705,20021024,EWST,8.68,8.640250000000005
706,20021025,EWST,8.595,8.633000000000004
707,20021028,EWST,8.65,8.628000000000004
708,20021029,EWST,8.55,8.611000000000004
709,20021030,EWST,8.515,8.604250000000004
710,20021031,EWST,8.58,8.595750000000004
711,20021101,EWST,8.52,8.584750000000003
712,20021104,EWST,8.511000000000001,8.573300000000003
713,20021105,EWST,8.56,8.566300000000004
714,20021106,EWST,8.56,8.566800000000004
715,20021107,EWST,8.51,8.567800000000002
716,20021108,EWST,8.51,8.568300000000002
717,20021111,EWST,8.44,8.571800000000001
718,20021112,EWST,8.52,8.577300000000003
